id	effectiveTime	active	moduleId	refsetId	referencedComponentId	acceptabilityId
735197ba-0527-4627-887c-0a465b3d2073	20201130	1	45991000052106	63461000052102	4191901000052111	900000000000548007
2182b115-d03f-4676-8dee-354c50695e17	20201130	1	45991000052106	63461000052102	3554501000052117	900000000000548007
59f5175b-c8f4-4529-9810-44e949159aee	20201130	1	45991000052106	63461000052102	3554551000052116	900000000000548007
fad37cd4-a72f-4cfc-a327-71d6b353380c	20201130	1	45991000052106	63461000052102	3556311000052115	900000000000548007
3c829fd9-5392-4251-a852-12b45ebb2b77	20201130	1	45991000052106	63461000052102	3559691000052111	900000000000548007
4f2fc132-ae6d-47b7-b0d3-ae5b9fb0bdf8	20201130	1	45991000052106	63461000052102	4191791000052117	900000000000548007
fda57356-c0e8-4885-abec-1a7c1205d90d	20201130	1	45991000052106	63461000052102	3554721000052116	900000000000548007
b2e9a46d-bcce-4d88-a5f4-d8598bd29181	20201130	1	45991000052106	63461000052102	4145111000052116	900000000000548007
477e93a4-d332-4075-a2f3-7e23c949ac33	20201130	1	45991000052106	63461000052102	3555831000052114	900000000000548007
10b8770a-aaab-4ca5-98e7-8c4a0c44a50e	20201130	1	45991000052106	63461000052102	4328771000052112	900000000000548007
a8bf8031-a0fe-42c4-877d-ed9adf85317f	20201130	1	45991000052106	63461000052102	3556321000052111	900000000000548007
3e82b532-17e9-4676-a73c-9127def0b4c2	20201130	1	45991000052106	63461000052102	3556191000052111	900000000000548007
6641423c-49d9-4b4f-b526-fa8d2e290ab2	20201130	1	45991000052106	63461000052102	4390251000052115	900000000000548007
3c175087-093c-4924-8b3b-bb1085681531	20201130	1	45991000052106	63461000052102	3556231000052117	900000000000548007
dea3ae85-6dc1-453d-9d09-6bfa589fa8ec	20201130	1	45991000052106	63461000052102	3556141000052116	900000000000548007
4a61cb7a-0359-4b15-a9ee-75f69a124e12	20201130	1	45991000052106	63461000052102	3556611000052112	900000000000548007
c4cddf4f-5ea8-4797-a7f7-1f9dcb1f0730	20201130	1	45991000052106	63461000052102	3556061000052116	900000000000548007
2a37343e-550d-4df5-b20e-0a5fd950d49c	20201130	1	45991000052106	63461000052102	3555701000052114	900000000000548007
03409ee0-474f-4e59-9623-641afbf09cca	20201130	1	45991000052106	63461000052102	3555811000052116	900000000000548007
66b064e6-3fbe-4d72-bbeb-5859b452dae2	20201130	1	45991000052106	63461000052102	3554441000052118	900000000000548007
8c33c8b3-8616-4671-91d5-ddd53658cbc1	20201130	1	45991000052106	63461000052102	3556241000052111	900000000000548007
38789b9b-33c3-4571-afd2-918a161ab926	20201130	1	45991000052106	63461000052102	3554521000052111	900000000000548007
01119c5e-099b-4520-9d6f-5227e1d205c5	20201130	1	45991000052106	63461000052102	3555731000052118	900000000000548007
88cfe636-815f-4a85-9138-e812ab8b8ac3	20201130	1	45991000052106	63461000052102	3555041000052110	900000000000548007
dc693b4d-7943-4da6-a136-5190344c590d	20201130	1	45991000052106	63461000052102	4191991000052119	900000000000548007
c5880bcd-ce5e-46d6-bec7-f8dac3ffe286	20201130	1	45991000052106	63461000052102	3556171000052112	900000000000548007
a757d03a-6ff5-47f3-8667-f6a919f39d27	20201130	1	45991000052106	63461000052102	3556401000052112	900000000000548007
f07fd241-075a-4a72-a0a4-5a30ebd1fce9	20201130	1	45991000052106	63461000052102	3554431000052112	900000000000548007
b18d4b36-6529-4b21-84fe-103e48da8416	20201130	1	45991000052106	63461000052102	4192031000052112	900000000000548007
83d47fc3-30bd-4b64-bce3-943bc663e9b6	20201130	1	45991000052106	63461000052102	3555641000052119	900000000000548007
98a64f12-a65d-4339-a6d8-62db171db219	20201130	1	45991000052106	63461000052102	3554481000052111	900000000000548007
db191e37-6855-44b8-acbe-2a15a784f721	20201130	1	45991000052106	63461000052102	3555851000052117	900000000000548007
b51f3c36-1fc6-4980-b51d-4f5f7aa846a1	20201130	1	45991000052106	63461000052102	4192331000052114	900000000000548007
3484b20f-007c-4ef2-ac23-ff0a30c10201	20201130	1	45991000052106	63461000052102	3556221000052119	900000000000548007
d264c5fe-a9e7-440b-be3d-d566484668c4	20201130	1	45991000052106	63461000052102	3556441000052110	900000000000548007
df5b08bc-61a9-4454-a2ba-c802afb8bdec	20201130	1	45991000052106	63461000052102	3554641000052115	900000000000548007
452c23ae-d17b-4a91-84fa-e4446e359fb4	20201130	1	45991000052106	63461000052102	3554491000052113	900000000000548007
8de13294-a35d-4729-8015-ab05734a1697	20201130	1	45991000052106	63461000052102	3556251000052114	900000000000548007
286e5d95-eb46-4406-be0e-1ed9f02e9e5e	20201130	1	45991000052106	63461000052102	4192061000052117	900000000000548007
b67f5b06-31ad-49b6-b005-753946e4c0eb	20201130	1	45991000052106	63461000052102	3555581000052111	900000000000548007
